Address,Calibration_G0,Calibration_G1,Calibration_G2,Calibration_G3
0,1,2,3,4
1,1,2,3,4
2,1,2,3,4
3,1,2,3,4
4,1,2,3,4
5,1,2,3,4
6,1,2,3,4
7,1,2,3,4
8,1,2,3,4
9,1,2,3,4
10,11,2,3,4
11,11,2,3,4
12,11,2,3,4
13,11,2,3,4
14,11,2,3,4
15,11,2,3,4
16,11,2,3,4
17,11,2,3,4
18,11,2,3,4
19,11,2,3,4
20,11,2,3,4
21,11,2,3,4
22,11,2,3,4
23,11,2,3,4
24,11,2,3,4
25,11,2,3,4
26,11,2,3,4
27,11,2,3,4
28,11,2,3,4
29,11,2,3,4
30,11,2,3,4
31,11,2,3,4
32,11,2,3,4
33,11,2,3,4
34,11,2,3,4
35,11,2,3,4
36,11,2,3,4
37,11,2,3,4
38,11,2,3,4
39,11,2,3,4
40,11,2,3,4
41,11,2,3,4
42,11,2,3,4
43,11,2,3,4
44,11,2,3,4
45,11,2,3,4
46,11,2,3,4
47,11,2,3,4
48,11,2,3,4
49,11,2,3,4
50,11,2,3,4
51,11,2,3,4
52,11,2,3,4
53,11,2,3,4
54,11,2,3,4
55,11,2,3,4
56,11,2,3,4
57,11,2,3,4
58,11,2,3,4
59,11,2,3,4
60,11,2,3,4
61,11,2,3,4
62,11,2,3,4
63,11,2,3,4
64,11,2,3,4
65,11,2,3,4
66,11,2,3,4
67,11,2,3,4
68,11,2,3,4
69,11,2,3,4
70,11,2,3,4
71,11,2,3,4
72,11,2,3,4
73,11,2,3,4
74,11,2,3,4
75,11,2,3,4
76,11,2,3,4
77,11,2,3,4
78,11,2,3,4
79,11,2,3,4
80,11,2,3,4
81,11,2,3,4
82,11,2,3,4
83,11,2,3,4
84,11,2,3,4
85,11,2,3,4
86,11,2,3,4
87,11,2,3,4
88,11,2,3,4
89,11,2,3,4
90,11,2,3,4
91,11,2,3,4
92,11,2,3,4
93,11,2,3,4
94,11,2,3,4
95,11,2,3,4
96,11,2,3,4
97,11,2,3,4
98,11,2,3,4
99,11,2,3,4
100,11,2,3,4
101,11,2,3,4
102,11,2,3,4
103,11,2,3,4
104,11,2,3,4
105,11,2,3,4
106,11,2,3,4
107,11,2,3,4
108,11,2,3,4
109,11,2,3,4
110,11,2,3,4
111,11,2,3,4
112,11,2,3,4
113,11,2,3,4
114,11,2,3,4
115,11,2,3,4
116,11,2,3,4
117,11,2,3,4
118,11,2,3,4
119,11,2,3,4
120,11,2,3,4
121,11,2,3,4
122,11,2,3,4
123,11,2,3,4
124,11,2,3,4
125,11,2,3,4
126,11,2,3,4
127,11,2,3,4
Address,Calibration_G0,Calibration_G1,Calibration_G2,Calibration_G3
